Booking ID,Cancelled Rides by Customer Reason,Cancelled Rides by Driver Reason,Incomplete Ride Reason
BKG048175,,The customer was coughing/sick,
BKG048176,,Customer related issue,
BKG048178,,The customer was coughing/sick,
BKG048186,,,Vehicle Breakdown
BKG048189,,The customer was coughing/sick,
BKG048191,,More than permitted people in there,
BKG048197,,,Vehicle Breakdown
BKG048201,,,Vehicle Breakdown
BKG048204,,,Customer Demand
BKG048205,,More than permitted people in there,
BKG048207,,Customer related issue,
BKG048211,,,Customer Demand
BKG048213,,,Other Issue
BKG048216,,,Other Issue
BKG048218,,More than permitted people in there,
BKG048221,Change of plans,,
BKG048223,,Customer related issue,
BKG048229,AC is not working,,
BKG048230,,Customer related issue,
BKG048242,,Customer related issue,
BKG048246,,Customer related issue,
BKG048250,,,Other Issue
BKG048258,,Customer related issue,
BKG048261,Change of plans,,
BKG048262,,,Customer Demand
BKG048270,,Personal & Car related issues,
BKG048277,,More than permitted people in there,
BKG048279,,,Vehicle Breakdown
BKG048281,,,Customer Demand
BKG048293,,,Vehicle Breakdown
BKG048298,,Customer related issue,
BKG048299,,More than permitted people in there,
BKG048301,,Customer related issue,
BKG048308,Driver asked to cancel,,
BKG048312,,Customer related issue,
BKG048313,,More than permitted people in there,
BKG048314,,,Vehicle Breakdown
BKG048322,,The customer was coughing/sick,
BKG048325,,Customer related issue,
BKG048328,,,Other Issue
BKG048332,,,Customer Demand
BKG048333,,Personal & Car related issues,
BKG048338,,Customer related issue,
BKG048343,Driver asked to cancel,,
BKG048346,,Personal & Car related issues,
BKG048347,Wrong Address,,
BKG048350,Driver is not moving towards pickup location,,
BKG048357,,,Vehicle Breakdown
BKG048359,,Personal & Car related issues,
BKG048362,,The customer was coughing/sick,
BKG048366,Driver asked to cancel,,
BKG048369,AC is not working,,
BKG048371,,,Customer Demand
BKG048372,,,Customer Demand
BKG048373,,Personal & Car related issues,
BKG048374,,,Customer Demand
BKG048376,,,Customer Demand
BKG048379,,Customer related issue,
BKG048381,,,Other Issue
BKG048382,Driver asked to cancel,,
BKG048384,,,Customer Demand
BKG048387,,Customer related issue,
BKG048388,,The customer was coughing/sick,
BKG048392,Driver asked to cancel,,
BKG048397,,,Customer Demand
BKG048401,,The customer was coughing/sick,
BKG048414,AC is not working,,
BKG048419,,The customer was coughing/sick,
BKG048424,,,Other Issue
BKG048425,,,Other Issue
BKG048429,,The customer was coughing/sick,
BKG048432,,The customer was coughing/sick,
BKG048435,,,Customer Demand
BKG048442,Driver is not moving towards pickup location,,
BKG048455,Wrong Address,,
BKG048456,,More than permitted people in there,
BKG048460,,Customer related issue,
BKG048463,Wrong Address,,
BKG048464,,,Customer Demand
BKG048465,,,Vehicle Breakdown
BKG048468,Driver asked to cancel,,
BKG048472,,More than permitted people in there,
BKG048476,,Personal & Car related issues,
BKG048477,,Customer related issue,
BKG048479,,Personal & Car related issues,
BKG048481,,,Customer Demand
BKG048483,Change of plans,,
BKG048485,,Customer related issue,
BKG048488,Wrong Address,,
BKG048490,,More than permitted people in there,
BKG048492,,,Other Issue
BKG048493,,Customer related issue,
BKG048494,,Personal & Car related issues,
BKG048496,,,Customer Demand
BKG048497,AC is not working,,
BKG048502,,,Other Issue
BKG048506,,Customer related issue,
BKG048508,,,Customer Demand
BKG048512,,,Vehicle Breakdown
BKG048513,,The customer was coughing/sick,
BKG048515,,,Other Issue
BKG048517,,Customer related issue,
BKG048519,,The customer was coughing/sick,
BKG048520,,The customer was coughing/sick,
BKG048521,Change of plans,,
BKG048524,AC is not working,,
BKG048526,,Personal & Car related issues,
BKG048528,,,Vehicle Breakdown
BKG048529,Driver asked to cancel,,
BKG048532,Change of plans,,
BKG048534,,Customer related issue,
BKG048538,,,Vehicle Breakdown
BKG048539,,,Customer Demand
BKG048540,Wrong Address,,
BKG048546,,,Vehicle Breakdown
BKG048547,,,Vehicle Breakdown
BKG048548,Wrong Address,,
BKG048550,,The customer was coughing/sick,
BKG048552,,Customer related issue,
BKG048556,,,Vehicle Breakdown
BKG048557,,The customer was coughing/sick,
BKG048559,,More than permitted people in there,
BKG048561,,The customer was coughing/sick,
BKG048562,Driver is not moving towards pickup location,,
BKG048566,,Customer related issue,
BKG048567,,More than permitted people in there,
BKG048572,Wrong Address,,
BKG048581,,,Vehicle Breakdown
BKG048586,,,Other Issue
BKG048587,Wrong Address,,
BKG048588,,Customer related issue,
BKG048591,,,Other Issue
BKG048594,,Customer related issue,
BKG048600,,,Customer Demand
BKG048605,,,Customer Demand
BKG048609,,Personal & Car related issues,
BKG048610,,Customer related issue,
BKG048613,,,Vehicle Breakdown
BKG048617,AC is not working,,
BKG048619,,The customer was coughing/sick,
BKG048620,,,Vehicle Breakdown
BKG048622,,Personal & Car related issues,
BKG048624,Driver asked to cancel,,
BKG048625,,,Vehicle Breakdown
BKG048626,,,Vehicle Breakdown
BKG048627,,More than permitted people in there,
BKG048628,,More than permitted people in there,
BKG048629,,The customer was coughing/sick,
BKG048630,,,Vehicle Breakdown
BKG048632,Driver is not moving towards pickup location,,
BKG048637,,,Vehicle Breakdown
BKG048638,,Customer related issue,
BKG048639,,More than permitted people in there,
BKG048642,,,Vehicle Breakdown
BKG048643,Change of plans,,
BKG048648,,,Other Issue
BKG048654,,Customer related issue,
BKG048661,,,Customer Demand
BKG048666,Driver is not moving towards pickup location,,
BKG048673,,The customer was coughing/sick,
BKG048674,,,Vehicle Breakdown
BKG048677,,,Customer Demand
BKG048678,Wrong Address,,
BKG048679,,The customer was coughing/sick,
BKG048680,AC is not working,,
BKG048683,,,Vehicle Breakdown
BKG048684,AC is not working,,
BKG048685,,,Vehicle Breakdown
BKG048687,,,Other Issue
BKG048691,,Customer related issue,
BKG048693,,Personal & Car related issues,
BKG048696,AC is not working,,
BKG048697,,,Customer Demand
BKG048701,,Personal & Car related issues,
BKG048704,,,Other Issue
BKG048707,,More than permitted people in there,
BKG048708,,Personal & Car related issues,
BKG048710,,,Vehicle Breakdown
BKG048712,,Customer related issue,
BKG048715,,Personal & Car related issues,
BKG048716,,Customer related issue,
BKG048717,Driver asked to cancel,,
BKG048719,,Personal & Car related issues,
BKG048726,,The customer was coughing/sick,
BKG048736,,More than permitted people in there,
BKG048738,,,Customer Demand
BKG048740,,,Customer Demand
BKG048742,,,Other Issue
BKG048749,,Personal & Car related issues,
BKG048752,,,Vehicle Breakdown
BKG048753,,Customer related issue,
BKG048756,AC is not working,,
BKG048757,,More than permitted people in there,
BKG048759,Driver asked to cancel,,
BKG048760,AC is not working,,
BKG048764,,,Customer Demand
BKG048766,,Customer related issue,
BKG048770,,The customer was coughing/sick,
BKG048771,,Customer related issue,
BKG048773,,More than permitted people in there,
BKG048775,Driver asked to cancel,,
BKG048780,,,Other Issue
BKG048781,,Personal & Car related issues,
BKG048786,,,Vehicle Breakdown
BKG048787,,More than permitted people in there,
BKG048788,,,Other Issue
BKG048789,,,Vehicle Breakdown
BKG048790,,,Customer Demand
BKG048791,Wrong Address,,
BKG048793,,Personal & Car related issues,
BKG048794,,Personal & Car related issues,
BKG048795,,The customer was coughing/sick,
BKG048796,,,Vehicle Breakdown
BKG048800,,,Customer Demand
BKG048805,,The customer was coughing/sick,
BKG048812,AC is not working,,
BKG048815,,,Customer Demand
BKG048818,Driver asked to cancel,,
BKG048819,AC is not working,,
BKG048820,,,Other Issue
BKG048822,AC is not working,,
BKG048823,,The customer was coughing/sick,
BKG048824,,The customer was coughing/sick,
BKG048825,,,Vehicle Breakdown
BKG048827,,,Customer Demand
BKG048829,,The customer was coughing/sick,
BKG048830,Driver asked to cancel,,
BKG048832,,Customer related issue,
BKG048835,,,Other Issue
BKG048837,,,Customer Demand
BKG048843,Change of plans,,
BKG048844,,Customer related issue,
BKG048845,,,Vehicle Breakdown
BKG048846,,Personal & Car related issues,
BKG048848,Driver asked to cancel,,
BKG048850,,Personal & Car related issues,
BKG048854,,,Customer Demand
BKG048855,,,Customer Demand
BKG048859,,,Vehicle Breakdown
BKG048861,,,Customer Demand
BKG048862,,Customer related issue,
BKG048864,,,Other Issue
BKG048865,,,Vehicle Breakdown
BKG048866,,Customer related issue,
BKG048867,,,Vehicle Breakdown
BKG048871,,,Customer Demand
BKG048873,,The customer was coughing/sick,
BKG048874,,,Vehicle Breakdown
BKG048881,Wrong Address,,
BKG048884,,,Customer Demand
BKG048885,,Personal & Car related issues,
BKG048890,,The customer was coughing/sick,
BKG048892,,Personal & Car related issues,
BKG048896,Driver asked to cancel,,
BKG048899,,Customer related issue,
BKG048900,,Customer related issue,
BKG048903,,,Vehicle Breakdown
BKG048904,,More than permitted people in there,
BKG048905,,More than permitted people in there,
BKG048909,,Customer related issue,
BKG048911,,,Customer Demand
BKG048918,,,Customer Demand
BKG048919,,Personal & Car related issues,
BKG048921,,,Vehicle Breakdown
BKG048931,,The customer was coughing/sick,
BKG048932,,,Other Issue
BKG048934,Change of plans,,
BKG048939,,,Customer Demand
BKG048941,,The customer was coughing/sick,
BKG048942,,The customer was coughing/sick,
BKG048943,,More than permitted people in there,
BKG048944,,,Vehicle Breakdown
BKG048945,,Personal & Car related issues,
BKG048946,,,Other Issue
BKG048949,,,Vehicle Breakdown
BKG048950,,,Customer Demand
BKG048953,,,Vehicle Breakdown
BKG048955,,,Vehicle Breakdown
BKG048956,,More than permitted people in there,
BKG048957,Change of plans,,
BKG048960,,,Other Issue
BKG048964,,,Customer Demand
BKG048965,Change of plans,,
BKG048966,,,Other Issue
BKG048969,Wrong Address,,
BKG048971,,,Vehicle Breakdown
BKG048972,,Personal & Car related issues,
BKG048979,Wrong Address,,
BKG048981,,,Vehicle Breakdown
BKG048982,,,Vehicle Breakdown
BKG048985,,The customer was coughing/sick,
BKG048986,,Personal & Car related issues,
BKG048987,,The customer was coughing/sick,
BKG048989,,,Customer Demand
BKG048991,,Customer related issue,
BKG048992,,The customer was coughing/sick,
BKG048995,,Customer related issue,
BKG048997,Wrong Address,,
BKG048998,Wrong Address,,
BKG048999,,The customer was coughing/sick,
BKG049005,,,Other Issue
BKG049016,,More than permitted people in there,
BKG049019,,Personal & Car related issues,
BKG049023,Driver asked to cancel,,
BKG049028,,The customer was coughing/sick,
BKG049029,,Customer related issue,
BKG049032,,,Other Issue
BKG049034,,,Other Issue
BKG049043,,The customer was coughing/sick,
BKG049051,,,Other Issue
BKG049052,,,Vehicle Breakdown
BKG049055,,Personal & Car related issues,
BKG049056,,,Other Issue
BKG049058,,Customer related issue,
BKG049059,,More than permitted people in there,
BKG049061,,The customer was coughing/sick,
BKG049062,AC is not working,,
BKG049063,,The customer was coughing/sick,
BKG049064,,,Other Issue
BKG049070,,,Vehicle Breakdown
BKG049073,,,Other Issue
BKG049074,,Personal & Car related issues,
BKG049075,,The customer was coughing/sick,
BKG049081,,Personal & Car related issues,
BKG049082,,,Other Issue
BKG049086,,More than permitted people in there,
BKG049087,,,Customer Demand
BKG049088,,,Other Issue
BKG049092,Wrong Address,,
BKG049093,Wrong Address,,
BKG049094,,,Vehicle Breakdown
BKG049095,,More than permitted people in there,
BKG049098,,Customer related issue,
BKG049100,AC is not working,,
BKG049106,,,Customer Demand
BKG049108,Wrong Address,,
BKG049113,,More than permitted people in there,
BKG049117,,,Vehicle Breakdown
BKG049118,,Customer related issue,
BKG049120,,More than permitted people in there,
BKG049122,AC is not working,,
BKG049128,,,Customer Demand
BKG049137,,,Vehicle Breakdown
BKG049139,,,Other Issue
BKG049140,,More than permitted people in there,
BKG049141,,More than permitted people in there,
BKG049144,,,Other Issue
BKG049146,,,Customer Demand
BKG049149,Wrong Address,,
BKG049150,,,Vehicle Breakdown
BKG049156,,Customer related issue,
BKG049157,,,Vehicle Breakdown
BKG049162,,More than permitted people in there,
BKG049163,,The customer was coughing/sick,
BKG049168,,The customer was coughing/sick,
BKG049170,AC is not working,,
BKG049171,Wrong Address,,
BKG049174,,More than permitted people in there,
BKG049176,,Customer related issue,
BKG049179,,Customer related issue,
BKG049181,,,Customer Demand
BKG049187,,Personal & Car related issues,
BKG049190,,Customer related issue,
BKG049193,,More than permitted people in there,
BKG049194,,,Vehicle Breakdown
BKG049196,,,Customer Demand
BKG049197,,More than permitted people in there,
BKG049198,Change of plans,,
BKG049203,Driver asked to cancel,,
BKG049204,,Personal & Car related issues,
BKG049205,,Personal & Car related issues,
BKG049214,,,Vehicle Breakdown
BKG049219,,,Other Issue
BKG049221,Driver is not moving towards pickup location,,
BKG049222,,,Vehicle Breakdown
BKG049225,Wrong Address,,
BKG049228,,The customer was coughing/sick,
BKG049229,,More than permitted people in there,
BKG049232,Driver is not moving towards pickup location,,
BKG049235,,,Customer Demand
BKG049236,,,Other Issue
BKG049245,,,Customer Demand
BKG049247,AC is not working,,
BKG049249,,Customer related issue,
BKG049250,Wrong Address,,
BKG049253,,Personal & Car related issues,
BKG049254,,,Customer Demand
BKG049259,,Personal & Car related issues,
BKG049261,AC is not working,,
BKG049266,Change of plans,,
BKG049267,Wrong Address,,
BKG049269,,,Customer Demand
BKG049272,,Customer related issue,
BKG049274,,The customer was coughing/sick,
BKG049276,,Customer related issue,
BKG049279,,,Other Issue
BKG049280,,Customer related issue,
BKG049283,,The customer was coughing/sick,
BKG049284,,The customer was coughing/sick,
BKG049285,Driver asked to cancel,,
BKG049286,,,Other Issue
BKG049295,,Personal & Car related issues,
BKG049303,,,Vehicle Breakdown
BKG049304,,The customer was coughing/sick,
BKG049307,,The customer was coughing/sick,
BKG049312,,,Other Issue
BKG049316,,,Vehicle Breakdown
BKG049318,,The customer was coughing/sick,
BKG049321,,,Customer Demand
BKG049323,,More than permitted people in there,
BKG049329,,More than permitted people in there,
BKG049332,Change of plans,,
BKG049335,,Customer related issue,
BKG049337,,,Other Issue
BKG049338,,,Customer Demand
BKG049339,,Personal & Car related issues,
BKG049341,,,Customer Demand
BKG049344,,More than permitted people in there,
BKG049345,,Personal & Car related issues,
BKG049348,,Customer related issue,
BKG049350,,The customer was coughing/sick,
BKG049351,,,Vehicle Breakdown
BKG049352,,,Vehicle Breakdown
BKG049357,Wrong Address,,
BKG049359,,Customer related issue,
BKG049360,,,Other Issue
BKG049365,,The customer was coughing/sick,
BKG049369,,,Other Issue
BKG049371,,Customer related issue,
BKG049372,,Personal & Car related issues,
BKG049373,,The customer was coughing/sick,
BKG049375,,Customer related issue,
BKG049387,,Personal & Car related issues,
BKG049391,,,Customer Demand
BKG049395,,Customer related issue,
BKG049398,,Personal & Car related issues,
BKG049399,,The customer was coughing/sick,
BKG049403,,,Vehicle Breakdown
BKG049405,,The customer was coughing/sick,
BKG049406,,Customer related issue,
BKG049408,,More than permitted people in there,
BKG049416,,More than permitted people in there,
BKG049419,AC is not working,,
BKG049420,,Customer related issue,
BKG049430,,The customer was coughing/sick,
BKG049431,,Customer related issue,
BKG049438,,The customer was coughing/sick,
BKG049439,,Personal & Car related issues,
BKG049440,,Customer related issue,
BKG049441,,Customer related issue,
BKG049442,,,Other Issue
BKG049443,Driver is not moving towards pickup location,,
BKG049445,Change of plans,,
BKG049446,,The customer was coughing/sick,
BKG049449,,Customer related issue,
BKG049450,,Customer related issue,
BKG049452,,Personal & Car related issues,
BKG049453,,,Other Issue
BKG049454,,Customer related issue,
BKG049456,,The customer was coughing/sick,
BKG049462,,,Other Issue
BKG049465,,,Vehicle Breakdown
BKG049468,Wrong Address,,
BKG049470,,The customer was coughing/sick,
BKG049471,,More than permitted people in there,
BKG049473,Wrong Address,,
BKG049474,Change of plans,,
BKG049478,,,Customer Demand
BKG049484,,Personal & Car related issues,
BKG049486,,The customer was coughing/sick,
BKG049492,,,Customer Demand
BKG049494,,,Vehicle Breakdown
BKG049497,,,Customer Demand
BKG049502,,Customer related issue,
BKG049503,,,Other Issue
BKG049508,,,Other Issue
BKG049517,AC is not working,,
BKG049518,,The customer was coughing/sick,
BKG049521,Change of plans,,
BKG049522,,,Other Issue
BKG049525,,More than permitted people in there,
BKG049533,,The customer was coughing/sick,
BKG049544,,,Other Issue
BKG049547,,,Customer Demand
BKG049550,,Customer related issue,
BKG049555,,The customer was coughing/sick,
BKG049556,,More than permitted people in there,
BKG049558,,,Customer Demand
BKG049560,,Personal & Car related issues,
BKG049561,,More than permitted people in there,
BKG049563,,Customer related issue,
BKG049569,,Customer related issue,
BKG049570,,,Customer Demand
BKG049572,,Customer related issue,
BKG049577,,,Customer Demand
BKG049581,,,Customer Demand
BKG049582,,,Vehicle Breakdown
BKG049583,,,Vehicle Breakdown
BKG049584,,,Other Issue
BKG049586,,The customer was coughing/sick,
BKG049587,,,Customer Demand
BKG049588,,More than permitted people in there,
BKG049589,Driver asked to cancel,,
BKG049593,,,Vehicle Breakdown
BKG049598,,The customer was coughing/sick,
BKG049599,,Personal & Car related issues,
BKG049600,,Personal & Car related issues,
BKG049602,,,Vehicle Breakdown
BKG049604,,,Vehicle Breakdown
BKG049612,,,Customer Demand
BKG049616,,Personal & Car related issues,
BKG049620,,,Other Issue
BKG049621,,Customer related issue,
BKG049623,,The customer was coughing/sick,
BKG049629,,Personal & Car related issues,
BKG049630,AC is not working,,
BKG049632,Wrong Address,,
BKG049635,,More than permitted people in there,
BKG049636,,More than permitted people in there,
BKG049637,Driver asked to cancel,,
BKG049639,,Personal & Car related issues,
BKG049640,,,Customer Demand
BKG049641,,,Vehicle Breakdown
BKG049642,Driver asked to cancel,,
BKG049644,,More than permitted people in there,
BKG049645,,Customer related issue,
BKG049655,,The customer was coughing/sick,
BKG049659,,,Other Issue
BKG049662,,,Vehicle Breakdown
BKG049666,,Personal & Car related issues,
BKG049667,,Personal & Car related issues,
BKG049669,,The customer was coughing/sick,
BKG049672,,Customer related issue,
BKG049674,Driver asked to cancel,,
BKG049675,,Customer related issue,
BKG049676,Driver is not moving towards pickup location,,
BKG049678,,,Other Issue
BKG049688,,,Other Issue
BKG049692,,,Other Issue
BKG049693,,The customer was coughing/sick,
BKG049697,Driver asked to cancel,,
BKG049701,AC is not working,,
BKG049704,,,Other Issue
BKG049706,,,Vehicle Breakdown
BKG049708,,,Other Issue
BKG049711,,,Vehicle Breakdown
BKG049714,,,Other Issue
BKG049716,Driver asked to cancel,,
BKG049717,,The customer was coughing/sick,
BKG049719,,,Other Issue
BKG049720,,,Other Issue
BKG049721,,,Other Issue
BKG049724,,More than permitted people in there,
BKG049726,,Customer related issue,
BKG049736,,,Vehicle Breakdown
BKG049738,,,Other Issue
BKG049742,Change of plans,,
BKG049745,,The customer was coughing/sick,
BKG049749,,,Other Issue
BKG049750,Driver is not moving towards pickup location,,
BKG049751,,The customer was coughing/sick,
BKG049757,,More than permitted people in there,
BKG049758,,The customer was coughing/sick,
BKG049760,,,Vehicle Breakdown
BKG049761,,,Other Issue
BKG049765,,More than permitted people in there,
BKG049772,,More than permitted people in there,
BKG049786,,,Customer Demand
BKG049787,,,Customer Demand
BKG049788,,,Customer Demand
BKG049790,,Customer related issue,
BKG049792,Change of plans,,
BKG049793,,Customer related issue,
BKG049796,,Customer related issue,
BKG049798,,,Vehicle Breakdown
BKG049803,,Personal & Car related issues,
BKG049808,,Personal & Car related issues,
BKG049809,,The customer was coughing/sick,
BKG049812,,The customer was coughing/sick,
BKG049814,Driver asked to cancel,,
BKG049815,AC is not working,,
BKG049817,,The customer was coughing/sick,
BKG049820,,,Customer Demand
BKG049823,,,Vehicle Breakdown
BKG049824,,Customer related issue,
BKG049825,AC is not working,,
BKG049828,Wrong Address,,
BKG049831,,Customer related issue,
BKG049833,,,Other Issue
BKG049837,,Customer related issue,
BKG049844,,,Other Issue
BKG049850,,Customer related issue,
BKG049852,,More than permitted people in there,
BKG049855,,,Vehicle Breakdown
BKG049856,,More than permitted people in there,
BKG049859,,Personal & Car related issues,
BKG049864,,The customer was coughing/sick,
BKG049865,Driver is not moving towards pickup location,,
BKG049871,,,Other Issue
BKG049872,,,Vehicle Breakdown
BKG049875,,,Customer Demand
BKG049876,,More than permitted people in there,
BKG049879,,More than permitted people in there,
BKG049881,,,Other Issue
BKG049883,,More than permitted people in there,
BKG049886,,,Other Issue
BKG049887,,Customer related issue,
BKG049888,,,Customer Demand
BKG049891,,,Other Issue
BKG049893,,,Other Issue
BKG049897,,More than permitted people in there,
BKG049898,Wrong Address,,
BKG049900,,,Vehicle Breakdown
BKG049902,,,Other Issue
BKG049906,,,Vehicle Breakdown
BKG049909,,,Vehicle Breakdown
BKG049910,Driver is not moving towards pickup location,,
BKG049912,,,Other Issue
BKG049915,Change of plans,,
BKG049916,,The customer was coughing/sick,
BKG049917,,The customer was coughing/sick,
BKG049918,,Personal & Car related issues,
BKG049919,,,Vehicle Breakdown
BKG049920,,,Customer Demand
BKG049921,,,Other Issue
BKG049923,,,Vehicle Breakdown
BKG049925,,,Customer Demand
BKG049926,,Customer related issue,
BKG049929,Driver asked to cancel,,
BKG049932,,,Other Issue
BKG049933,,,Vehicle Breakdown
BKG049934,,Personal & Car related issues,
BKG049936,,More than permitted people in there,
BKG049939,,,Customer Demand
BKG049941,,Customer related issue,
BKG049943,,The customer was coughing/sick,
BKG049944,,Customer related issue,
BKG049945,,,Other Issue
BKG049948,,,Customer Demand
BKG049952,,,Other Issue
BKG049953,,More than permitted people in there,
BKG049955,,,Customer Demand
BKG049961,,Customer related issue,
BKG049964,,Customer related issue,
BKG049966,Driver asked to cancel,,
BKG049967,,,Customer Demand
BKG049968,Driver is not moving towards pickup location,,
BKG049969,,Customer related issue,
BKG049971,,More than permitted people in there,
BKG049973,,More than permitted people in there,
BKG049974,,The customer was coughing/sick,
BKG049976,,Customer related issue,
BKG049981,AC is not working,,
BKG049982,,,Vehicle Breakdown
BKG049985,,The customer was coughing/sick,
BKG049986,,,Vehicle Breakdown
BKG049988,,,Vehicle Breakdown
BKG049989,,More than permitted people in there,
BKG049992,AC is not working,,
BKG049993,Driver is not moving towards pickup location,,
BKG049995,,The customer was coughing/sick,
BKG049996,,More than permitted people in there,
BKG049997,,Customer related issue,
BKG049998,,The customer was coughing/sick,
BKG049999,,Customer related issue,
BKG050004,,More than permitted people in there,
BKG050008,,Personal & Car related issues,
BKG050010,,,Other Issue
BKG050014,Wrong Address,,
BKG050016,Wrong Address,,
BKG050018,,,Vehicle Breakdown
BKG050019,,The customer was coughing/sick,
BKG050023,,Personal & Car related issues,
BKG050024,,,Customer Demand
BKG050028,,The customer was coughing/sick,
BKG050030,AC is not working,,
BKG050032,,The customer was coughing/sick,
BKG050043,,,Other Issue
BKG050044,Change of plans,,
BKG050049,Driver asked to cancel,,
BKG050050,,,Customer Demand
BKG050052,,More than permitted people in there,
BKG050054,Wrong Address,,
BKG050055,,Personal & Car related issues,
BKG050057,,Customer related issue,
BKG050060,,,Other Issue
BKG050062,,,Customer Demand
BKG050067,,Personal & Car related issues,
BKG050079,Driver is not moving towards pickup location,,
BKG050081,,The customer was coughing/sick,
BKG050082,,More than permitted people in there,
BKG050083,,,Other Issue
BKG050084,,Customer related issue,
BKG050088,,,Vehicle Breakdown
BKG050090,,,Customer Demand
BKG050092,Driver asked to cancel,,
BKG050096,,,Other Issue
BKG050099,,,Other Issue
BKG050100,,More than permitted people in there,
BKG050101,,,Vehicle Breakdown
BKG050107,Driver is not moving towards pickup location,,
BKG050108,,The customer was coughing/sick,
BKG050111,,,Customer Demand
BKG050112,Wrong Address,,
BKG050118,,More than permitted people in there,
BKG050119,Driver is not moving towards pickup location,,
BKG050121,Driver is not moving towards pickup location,,
BKG050123,,More than permitted people in there,
BKG050124,,The customer was coughing/sick,
BKG050125,,Personal & Car related issues,
BKG050133,,More than permitted people in there,
BKG050134,,More than permitted people in there,
BKG050135,Change of plans,,
BKG050137,,,Other Issue
BKG050138,,Customer related issue,
BKG050139,,More than permitted people in there,
BKG050141,,More than permitted people in there,
BKG050143,,Customer related issue,
BKG050144,,More than permitted people in there,
BKG050146,,Personal & Car related issues,
BKG050148,,,Customer Demand
BKG050150,,,Customer Demand
BKG050151,,,Other Issue
BKG050152,,,Vehicle Breakdown
BKG050156,,Personal & Car related issues,
BKG050158,,The customer was coughing/sick,
BKG050159,,Customer related issue,
BKG050161,,,Customer Demand
BKG050162,,Personal & Car related issues,
BKG050166,,,Vehicle Breakdown
BKG050171,,,Customer Demand
BKG050172,,More than permitted people in there,
BKG050174,,The customer was coughing/sick,
BKG050178,Driver asked to cancel,,
BKG050179,,Customer related issue,
BKG050181,,,Other Issue
BKG050183,,The customer was coughing/sick,
BKG050184,,Customer related issue,
BKG050185,,,Customer Demand
BKG050186,,,Customer Demand
BKG050190,,Personal & Car related issues,
BKG050193,,,Customer Demand
BKG050197,,The customer was coughing/sick,
BKG050198,,,Customer Demand
BKG050200,,More than permitted people in there,
BKG050201,,,Customer Demand
BKG050202,,,Vehicle Breakdown
BKG050203,,The customer was coughing/sick,
BKG050204,,,Other Issue
BKG050208,,,Vehicle Breakdown
BKG050213,,Personal & Car related issues,
BKG050215,,,Vehicle Breakdown
BKG050217,,,Other Issue
BKG050219,AC is not working,,
BKG050222,,More than permitted people in there,
BKG050224,,,Other Issue
BKG050229,,The customer was coughing/sick,
BKG050235,AC is not working,,
BKG050238,AC is not working,,
BKG050240,,Personal & Car related issues,
BKG050241,,Personal & Car related issues,
BKG050243,,,Customer Demand
BKG050245,,,Customer Demand
BKG050250,AC is not working,,
BKG050258,,More than permitted people in there,
BKG050259,,The customer was coughing/sick,
BKG050260,,Customer related issue,
BKG050264,Wrong Address,,
BKG050267,,,Customer Demand
BKG050268,Change of plans,,
BKG050273,Wrong Address,,
BKG050275,,Personal & Car related issues,
BKG050277,,,Other Issue
BKG050285,,,Customer Demand
BKG050286,,More than permitted people in there,
BKG050291,,Customer related issue,
BKG050292,Change of plans,,
BKG050294,,Personal & Car related issues,
BKG050295,,,Customer Demand
BKG050296,,The customer was coughing/sick,
BKG050297,,,Customer Demand
BKG050300,,Customer related issue,
BKG050304,,The customer was coughing/sick,
BKG050308,,More than permitted people in there,
BKG050309,,,Vehicle Breakdown
BKG050314,,More than permitted people in there,
BKG050321,,More than permitted people in there,
BKG050322,,Customer related issue,
BKG050325,,,Customer Demand
BKG050327,,Personal & Car related issues,
BKG050332,,,Customer Demand
BKG050336,,,Customer Demand
BKG050338,Change of plans,,
BKG050339,,The customer was coughing/sick,
BKG050340,,,Other Issue
BKG050341,,Personal & Car related issues,
BKG050343,,Personal & Car related issues,
BKG050344,,,Customer Demand
BKG050345,Wrong Address,,
BKG050348,,,Other Issue
BKG050350,,Personal & Car related issues,
BKG050353,Driver is not moving towards pickup location,,
BKG050354,,More than permitted people in there,
BKG050358,,Customer related issue,
BKG050361,,The customer was coughing/sick,
BKG050362,,,Other Issue
BKG050363,,More than permitted people in there,
BKG050369,,,Customer Demand
BKG050372,,Personal & Car related issues,
BKG050380,,More than permitted people in there,
BKG050382,Driver asked to cancel,,
BKG050386,AC is not working,,
BKG050387,,More than permitted people in there,
BKG050389,,Customer related issue,
BKG050393,,Customer related issue,
BKG050394,,,Other Issue
BKG050396,Driver asked to cancel,,
BKG050397,,More than permitted people in there,
BKG050398,Wrong Address,,
BKG050405,,Customer related issue,
BKG050406,,Personal & Car related issues,
BKG050408,,Personal & Car related issues,
BKG050411,,More than permitted people in there,
BKG050412,,,Vehicle Breakdown
BKG050417,,,Vehicle Breakdown
BKG050418,,The customer was coughing/sick,
BKG050422,,,Vehicle Breakdown
BKG050423,Wrong Address,,
BKG050424,Driver is not moving towards pickup location,,
BKG050425,,,Vehicle Breakdown
BKG050426,,Personal & Car related issues,
BKG050428,,,Customer Demand
BKG050430,,The customer was coughing/sick,
BKG050431,,Personal & Car related issues,
BKG050437,AC is not working,,
BKG050439,,,Vehicle Breakdown
BKG050441,,More than permitted people in there,
BKG050443,,Customer related issue,
BKG050445,,,Vehicle Breakdown
BKG050446,Wrong Address,,
BKG050448,,,Other Issue
